,machine,sockets,threads,cores
213,acushla,1,2,2
158,pomegranates,1,4,4
235,jefferson,1,4,4
239,boulder,1,4,4
240,marias,1,4,4
241,red-rock,1,4,4
242,belford,1,4,4
243,europa,1,4,4
248,arkansas,1,4,4
250,conejos,1,4,4
277,harvard,1,4,4
114,ankara,1,8,4
115,baghdad,1,8,4
116,bangkok,1,8,4
117,beijing,1,8,4
118,berlin,1,8,4
119,bogota,1,8,4
120,cairo,1,8,4
121,damascus,1,8,4
122,dhaka,1,8,4
123,hanoi,1,8,4
124,hong-kong,1,8,4
125,jakarta,1,8,4
126,kabul,1,8,4
127,kinshasa,1,8,4
128,lima,1,8,4
129,london,1,8,4
130,madrid,1,8,4
131,mexico-city,1,8,4
132,moscow,1,8,4
133,pyongyang,1,8,4
134,riyadh,1,8,4
135,santiago,1,8,4
136,seoul,1,8,4
137,singapore,1,8,4
138,tehran,1,8,4
139,tokyo,1,8,4
140,washington-dc,1,8,4
141,acorn,1,8,4
142,brazil,1,8,4
143,butternut,1,8,4
144,chestnut,1,8,4
145,chinquapin,1,8,4
146,coconut,1,8,4
147,ginko,1,8,4
148,heartnut,1,8,4
149,hickory,1,8,4
150,pecan,1,8,4
151,pili,1,8,4
152,pinion,1,8,4
153,pistachio,1,8,4
154,shea,1,8,4
155,snap,1,8,4
157,raspberries,1,8,4
159,dates,1,8,4
191,uncompahgre,1,8,4
192,figs,1,8,4
193,grapes,1,8,4
194,huckleberries,1,8,4
195,kiwis,1,8,4
196,melons,1,8,4
197,nectarines,1,8,4
198,peaches,1,8,4
199,pears,1,8,4
220,chip,1,8,4
221,kenai,1,8,4
222,kuskokwim,1,8,4
223,stikine,1,8,4
224,yukon,1,8,4
225,capn,1,8,4
226,crackle,1,8,4
227,sun,1,8,4
228,beaverhead,1,8,4
229,big-hole,1,8,4
230,cut-bank,1,8,4
231,depuy,1,8,4
232,gallatin,1,8,4
233,jagger,1,8,4
234,lion,1,8,4
236,platte,1,8,4
237,ruby,1,8,4
238,stillwater,1,8,4
244,la-plata,1,8,4
245,frankfurt,1,8,4
246,somerset,1,8,4
247,animas,1,8,4
249,colorado,1,8,4
251,dolores,1,8,4
252,eagle,1,8,4
253,frying-pan,1,8,4
254,piedra,1,8,4
255,clarks-fork,1,8,4
256,greybull,1,8,4
257,hams-fork,1,8,4
258,new-fork,1,8,4
259,nowood,1,8,4
260,popo-agie,1,8,4
261,powder,1,8,4
262,shoshone,1,8,4
263,snake,1,8,4
264,sweetwater,1,8,4
265,tongue,1,8,4
266,yellowstone,1,8,4
276,poudre,1,8,4
160,eggplant,2,8,8
161,endive,2,8,8
162,fennel,2,8,8
163,garlic,2,8,8
164,gourd,2,8,8
165,horseradish,2,8,8
166,kale,2,8,8
167,kelp,2,8,8
168,leek,2,8,8
169,lettuce,2,8,8
170,mushroom,2,8,8
171,okra,2,8,8
172,onion,2,8,8
173,parsley,2,8,8
174,parsnip,2,8,8
175,pea,2,8,8
176,pepper,2,8,8
177,potato,2,8,8
178,pumpkin,2,8,8
179,radish,2,8,8
180,rhubarb,2,8,8
181,romanesco,2,8,8
182,rutabaga,2,8,8
183,shallot,2,8,8
184,spinach,2,8,8
185,squash,2,8,8
186,tomatillo,2,8,8
187,tomato,2,8,8
188,turnip,2,8,8
189,wasabi,2,8,8
190,yam,2,8,8
267,lang,2,8,8
50,anchovy,1,12,6
51,barracuda,1,12,6
52,blowfish,1,12,6
53,bonito,1,12,6
54,brill,1,12,6
55,bullhead,1,12,6
56,char,1,12,6
57,cod,1,12,6
58,dorado,1,12,6
59,eel,1,12,6
60,flounder,1,12,6
61,grouper,1,12,6
62,halibut,1,12,6
63,herring,1,12,6
64,mackerel,1,12,6
65,marlin,1,12,6
66,perch,1,12,6
67,pollock,1,12,6
68,sardine,1,12,6
69,shark,1,12,6
70,sole,1,12,6
71,swordfish,1,12,6
72,tarpon,1,12,6
73,turbot,1,12,6
74,tuna,1,12,6
75,wahoo,1,12,6
76,a-basin,1,12,6
77,ajax,1,12,6
78,beaver-creek,1,12,6
79,breckenridge,1,12,6
80,buttermilk,1,12,6
81,cooper,1,12,6
82,copper-mtn,1,12,6
83,crested-butte,1,12,6
85,grandby-ranch,1,12,6
86,aspen-highlands,1,12,6
87,howelsen-hill,1,12,6
88,keystone,1,12,6
89,loveland,1,12,6
90,mary-jane,1,12,6
91,monarch,1,12,6
92,powderhorn,1,12,6
93,purgatory,1,12,6
94,silverton,1,12,6
95,snowmass,1,12,6
96,steamboat,1,12,6
97,sunlight,1,12,6
98,telluride,1,12,6
99,vail,1,12,6
100,winter-park,1,12,6
101,earth,1,12,6
102,mars,1,12,6
103,neptune,1,12,6
104,saturn,1,12,6
105,venus,1,12,6
106,bentley,1,12,6
107,bugatti,1,12,6
108,ferrari,1,12,6
109,jaguar,1,12,6
110,lamborghini,1,12,6
111,lotus,1,12,6
112,maserati,1,12,6
113,porsche,1,12,6
200,black-bottle,1,12,6
201,dc-oakes,1,12,6
202,equinox,1,12,6
203,funkwerks,1,12,6
204,gilded-goat,1,12,6
205,maxline,1,12,6
206,odell,1,12,6
207,rally-king,1,12,6
208,snowbank,1,12,6
209,zwei,1,12,6
210,samuel,1,12,6
214,phi,1,12,6
215,chi,1,12,6
216,psi,1,12,6
217,omega,1,12,6
0,albany,1,16,8
1,annapolis,1,16,8
2,atlanta,1,16,8
3,augusta,1,16,8
4,austin,1,16,8
5,baton-rouge,1,16,8
6,bismarck,1,16,8
7,boise,1,16,8
8,boston,1,16,8
9,carson-city,1,16,8
10,charleston,1,16,8
11,cheyenne,1,16,8
12,columbia,1,16,8
13,columbus-oh,1,16,8
14,concord,1,16,8
15,denver,1,16,8
16,des-moines,1,16,8
17,dover,1,16,8
18,frankfort,1,16,8
19,harrisburg,1,16,8
20,hartford,1,16,8
21,helena,1,16,8
22,honolulu,1,16,8
23,indianapolis,1,16,8
24,jackson,1,16,8
25,jefferson-city,1,16,8
26,juneau,1,16,8
27,lansing,1,16,8
28,lincoln,1,16,8
29,little-rock,1,16,8
30,madison,1,16,8
31,montgomery,1,16,8
32,montpelier,1,16,8
33,nashville,1,16,8
34,oklahoma-city,1,16,8
35,olympia,1,16,8
36,phoenix,1,16,8
37,pierre,1,16,8
38,providence,1,16,8
39,raleigh,1,16,8
40,richmond,1,16,8
41,sacramento,1,16,8
42,saint-paul,1,16,8
43,salem,1,16,8
44,salt-lake-city,1,16,8
45,santa-fe,1,16,8
46,springfield,1,16,8
47,tallahassee,1,16,8
48,topeka,1,16,8
49,trenton,1,16,8
84,eldora,1,16,8
156,coconuts,2,24,12
268,pancakes,2,24,12
269,waffles,2,24,12
270,toast,2,24,12
218,bacon,2,32,16
219,eggs,2,32,16
211,aqua,1,36,18
212,teal,1,36,18
271,blue,2,40,20
272,cyan,2,40,20
273,magenta,2,40,20
274,pink,2,40,20
275,yellow,2,40,20
